Date,Opposition,Competition,Season,Name,Number,Started,SubbedBy,SubTime,YellowCard,RedCard
1992-08-15,Cambridge United,League,1992,Kenny Irons,4,TRUE,,,,
1992-08-19,Blackpool,League Cup,1992,Kenny Irons,4,TRUE,,,,
1992-08-22,Sunderland,League,1992,Kenny Irons,4,TRUE,John Morrissey,,,
1992-08-25,Blackpool,League Cup,1992,Kenny Irons,4,TRUE,,,,
1992-08-28,Bristol Rovers,League,1992,Kenny Irons,4,TRUE,,,,
1992-09-05,Luton Town,League,1992,Kenny Irons,4,TRUE,,,,
1992-09-12,Grimsby Town,League,1992,Kenny Irons,4,TRUE,,,,
1992-09-18,Charlton Athletic,League,1992,Kenny Irons,4,TRUE,,,,
1992-09-26,Oxford United,League,1992,Dave Martindale,4,TRUE,,,,
1992-09-29,Notts County,League,1992,Dave Martindale,4,TRUE,,,,
1992-10-03,Bristol City,League,1992,Dave Martindale,4,TRUE,,,,
1992-10-10,Newcastle United,League,1992,Dave Martindale,4,TRUE,Kenny Irons,,,
1992-10-17,Birmingham City,League,1992,Kenny Irons,4,TRUE,,,,
1992-10-24,Watford,League,1992,Kenny Irons,4,TRUE,,,,
1992-10-30,Peterborough United,League,1992,Kenny Irons,4,TRUE,,,,
1992-11-03,Southend United,League,1992,Kenny Irons,4,TRUE,,,,
1992-11-07,Leicester City,League,1992,Kenny Irons,4,TRUE,,,,
1992-11-14,Brentford,League,1992,Kenny Irons,4,TRUE,,,,
1992-11-21,Portsmouth,League,1992,Kenny Irons,4,TRUE,,,,
1992-11-28,Derby County,League,1992,Kenny Irons,4,TRUE,,,,
1992-12-04,West Ham United,League,1992,Kenny Irons,4,TRUE,,,,
1992-12-19,Wolverhampton Wanderers,League,1992,Kenny Irons,4,TRUE,,,,
1992-12-26,Millwall,League,1992,Kenny Irons,4,TRUE,Dave Martindale,,,
1992-12-28,Barnsley,League,1992,Kenny Irons,4,TRUE,,,,
1993-01-02,Oldham Athletic,FA Cup,1992,Kenny Irons,4,TRUE,,,,
1993-01-09,Charlton Athletic,League,1992,Kenny Irons,4,TRUE,Dave Martindale,,,
1993-01-12,Oldham Athletic,FA Cup,1992,Kenny Irons,4,TRUE,,,,
1993-01-15,Oxford United,League,1992,Kenny Irons,4,TRUE,,,,
1993-01-23,Ipswich Town,FA Cup,1992,Kenny Irons,4,TRUE,,,,
1993-01-26,Notts County,League,1992,Kenny Irons,4,TRUE,Dave Martindale,,,
1993-02-06,Cambridge United,League,1992,Kenny Irons,4,TRUE,Ian Muir,,,
1993-02-13,Luton Town,League,1992,Kenny Irons,4,TRUE,,,,
1993-02-20,Bristol Rovers,League,1992,Kenny Irons,4,TRUE,Dave Martindale,,,
1993-02-23,Swindon Town,League,1992,Kenny Irons,4,TRUE,,,,
1993-02-28,Newcastle United,League,1992,Dave Martindale,4,TRUE,,,,
1993-03-06,Bristol City,League,1992,Kenny Irons,4,TRUE,,,,
1993-03-09,Brentford,League,1992,Kenny Irons,4,TRUE,,,,
1993-03-13,Leicester City,League,1992,Kenny Irons,4,TRUE,,,,
1993-03-16,Grimsby Town,League,1992,Kenny Irons,4,TRUE,,,,
1993-03-20,West Ham United,League,1992,Kenny Irons,4,TRUE,,,,
1993-03-23,Portsmouth,League,1992,Ged Brannan,4,TRUE,,,,
1993-03-26,Southend United,League,1992,Dave Martindale,4,TRUE,,,,
1993-04-02,Derby County,League,1992,Kenny Irons,4,TRUE,,,,
1993-04-06,Swindon Town,League,1992,Kenny Irons,4,TRUE,,,,
1993-04-10,Millwall,League,1992,Kenny Irons,4,TRUE,,,,
1993-04-12,Barnsley,League,1992,Kenny Irons,4,TRUE,,,,
1993-04-17,Wolverhampton Wanderers,League,1992,Kenny Irons,4,TRUE,,,,
1993-04-24,Birmingham City,League,1992,Kenny Irons,4,TRUE,,,,
