Date,Opposition,Competition,Season,Scorer,Assist,GoalType,AssistType,Minute,6YardBox,18YardBox,LongRange,CrossSide,Foot
1993-08-21,Leicester City,League,1993,Chris Malkin,,Shot,,,,,,,
1993-08-24,Charlton Athletic,League,1993,Ged Brannan,,,,,,,,,
1993-09-04,Notts County,League,1993,John Aldridge,,,,,,,,,
1993-09-04,Notts County,League,1993,Ian Muir,,Shot,,,,,,,
1993-09-04,Notts County,League,1993,Jon Kenworthy,,,,,,,,,
1993-09-11,Stoke City,League,1993,Tony Thomas,,FreeKick,,,,,,,
1993-09-11,Stoke City,League,1993,Ian Muir,,Shot,,,,,,,
1993-09-14,Luton Town,League,1993,John Aldridge,,,,,,,,,
1993-09-14,Luton Town,League,1993,Ian Muir,,,,,,,,,
1993-09-14,Luton Town,League,1993,Ged Brannan,,,,,,,,,
1993-09-14,Luton Town,League,1993,Tony Thomas,,,,,,,,,
1993-09-21,Oxford United,League Cup,1993,Pat Nevin,,,,,,,,,
1993-09-21,Oxford United,League Cup,1993,Pat Nevin,,,,,,,,,
1993-09-21,Oxford United,League Cup,1993,Pat Nevin,,,,,,,,,
1993-09-21,Oxford United,League Cup,1993,John Aldridge,,,,,,,,,
1993-09-21,Oxford United,League Cup,1993,John Aldridge,,,,,,,,,
1993-09-25,Oxford United,League,1993,Pat Nevin,,,,,,,,,
1993-09-25,Oxford United,League,1993,Ged Brannan,,,,,,,,,
1993-10-02,Southend United,League,1993,Jon Kenworthy,,,,,,,,,
1993-10-02,Southend United,League,1993,Ian Muir,,,,,,,,,
1993-10-05,Oxford United,League Cup,1993,Kenny Irons,,,,,,,,,
1993-10-09,Bolton Wanderers,League,1993,Chris Malkin,,,,,,,,,
1993-10-09,Bolton Wanderers,League,1993,Pat Nevin,,,,,,,,,
1993-10-16,Nottingham Forest,League,1993,Chris Malkin,,,,,,,,,
1993-10-22,Bristol City,League,1993,Ged Brannan,,,,,,,,,
1993-10-22,Bristol City,League,1993,Pat Nevin,,,,,,,,,
1993-10-26,Grimsby Town,League Cup,1993,Kenny Irons,,,,,,,,,
1993-10-26,Grimsby Town,League Cup,1993,Steve Vickers,,,,,,,,,
1993-10-26,Grimsby Town,League Cup,1993,John Aldridge,,,,,,,,,
1993-10-26,Grimsby Town,League Cup,1993,John Aldridge,,,,,,,,,
1993-11-02,West Bromwich Albion,League,1993,Ian Muir,,,,,,,,,
1993-11-02,West Bromwich Albion,League,1993,Ian Muir,,,,,,,,,
1993-11-02,West Bromwich Albion,League,1993,Pat Nevin,,,,,,,,,
1993-11-13,Sunderland,League,1993,John Aldridge,,,,,,,,,
1993-11-13,Sunderland,League,1993,Pat Nevin,,,,,,,,,
1993-11-13,Sunderland,League,1993,John Aldridge,,,,,,,,,
1993-11-13,Sunderland,League,1993,John Morrissey,,,,,,,,,
1993-11-20,Millwall,League,1993,Gary Jones,,Header,,,,,,,
1993-11-27,Birmingham City,League,1993,John Aldridge,,,,,,,,,
1993-11-27,Birmingham City,League,1993,John Aldridge,,,,,,,,,
1993-11-27,Birmingham City,League,1993,Chris Malkin,,,,,,,,,
1993-11-30,Oldham Athletic,League Cup,1993,Ged Brannan,,,,,,,,,
1993-11-30,Oldham Athletic,League Cup,1993,Ged Brannan,,,,,,,,,
1993-11-30,Oldham Athletic,League Cup,1993,John Aldridge,,,,,,,,,
1993-12-03,Peterborough United,League,1993,John Aldridge,,,,,,,,,
1993-12-03,Peterborough United,League,1993,Pat Nevin,,,,,,,,,
1993-12-11,Luton Town,League,1993,John Aldridge,,,,,,,,,
1993-12-27,Wolverhampton Wanderers,League,1993,Kenny Irons,,,,,,,,,
1994-01-01,Watford,League,1993,Ged Brannan,,,,,,,,,
1994-01-01,Watford,League,1993,Chris Malkin,,,,,,,,,
1994-01-16,Nottingham Forest,League,1993,John Aldridge,,,,,,,,,
1994-01-23,Bolton Wanderers,League,1993,Chris Malkin,,,,,,,,,
1994-01-26,Nottingham Forest,League Cup,1993,Chris Malkin,,,,,,,,,
1994-01-29,Nottingham Forest,League Cup,1993,Pat Nevin,,,,,,,,,
1994-02-05,Bristol City,League,1993,Tony Thomas,,,,,,,,,
1994-02-11,Portsmouth,League,1993,Ged Brannan,,,,,,,,,
1994-02-11,Portsmouth,League,1993,John Aldridge,,,,,,,,,
1994-02-11,Portsmouth,League,1993,Chris Malkin,,,,,,,,,
1994-02-16,Aston Villa,League Cup,1993,Ian Nolan,Pat Nevin,Shot,,,,,,,
1994-02-16,Aston Villa,League Cup,1993,Mark Hughes,,Shot,,,,,,,
1994-02-16,Aston Villa,League Cup,1993,John Aldridge,Kenny Irons,Shot,,,,,,,
1994-02-23,Leicester City,League,1993,John McGreal,,,,,,,,,
1994-02-27,Aston Villa,League Cup,1993,John Aldridge,,Penalty,,,,,,,
1994-03-05,Grimsby Town,League,1993,Chris Malkin,,,,,,,,,
1994-03-15,Stoke City,League,1993,John Aldridge,,,,,,,,,
1994-03-15,Stoke City,League,1993,John Aldridge,,,,,,,,,
1994-03-25,Southend United,League,1993,John Aldridge,,,,,,,,,
1994-03-29,Derby County,League,1993,John Aldridge,,,,,,,,,
1994-03-29,Derby County,League,1993,John Aldridge,,,,,,,,,
1994-03-29,Derby County,League,1993,Ged Brannan,,,,,,,,,
1994-03-29,Derby County,League,1993,Liam O'Brien,,,,,,,,,
1994-04-02,Wolverhampton Wanderers,League,1993,John Aldridge,,,,,,,,,
1994-04-04,Middlesbrough,League,1993,Shaun Garnett,,,,,,,,,
