Name,DateJoined,DateLeft
Micky Mellon,2016-10-07,
Paul Carden,2016-09-18,2016-10-07
Gary Brabin,2015-05-05,2016-09-18
Alan Rogers,2015-04-23,2015-05-05
Mickey Adams,2014-10-16,2015-04-19
Rob Edwards,2014-05-27,2014-10-13
John McMahon (2nd),2014-04-08,2014-05-27
Ronnie Moore (3rd),2012-03-04,2014-04-08
Les Parry,2009-10-09,2012-03-04
John Barnes,2009-06-14,2009-10-09
Ronnie Moore (2nd),2006-06-09,2009-06-05
Brian Little,2003-10-12,2006-06-09
John McMahon,2003-09-29,2003-10-12
Ray Mathias,2002-08-01,2003-09-29
Dave Watson,2001-05-20,2002-08-01
Ray Mathias,2001-03-18,2001-05-07
Kevin Sheedy,2001-03-18,2001-05-07
John Aldridge,1996-04-12,2001-03-17
John King (2nd),1987-04-13,1996-04-12
Ronnie Moore,1987-02-11,1987-04-13
Frank Worthington,1985-07-09,1987-02-11
Bryan Hamilton,1980-10-01,1985-02-07
John King,1975-04-13,1980-09-30
Ron Yeats,1972-04-08,1975-04-04
Jackie Wright,1969-12-01,1972-04-01
Dave Russell,1961-12-01,1969-12-01
Walter Galbraith,1961-01-01,1961-12-01
Peter Farrell,1957-10-01,1960-12-31
Noel Kelly,1955-07-01,1957-10-01
Ernest Blackburn,1946-09-01,1955-05-01
Bill Ridding,1939-01-01,1945-05-31
Jim Knowles,1936-11-01,1939-01-01
Jack Carr,1935-05-01,1936-11-01
Bert Cooke,2012-08-01,1935-04-30
