Name,DateOfBirth,PlaceOfBirth,PrimaryPosition,Height,Foot
Eric Nixon,,Manchester,Goalkeeper,,
Jim Harvey,,,Midfielder,,
Tony Thomas,,Liverpool,Defender,,
John Morrissey,,Liverpool,Winger,,
Ian Muir,,,Striker,,
Ronnie Moore,,,Striker,,
Dave Higgins,,Liverpool,Defender,,
Mark McCarrick,,,Defender,,
Dave Martindale,,Liverpool,Midfielder,,
Eddie Bishop,,,Midfielder,,
Eddie Murray,,,Winger,,
Jim Steel,,,Striker,,
Gary Williams,,,Defender,,
John Smith,,,Defender,,
Mark Hughes,,Port Talbot,Defender,,
Steve Vickers,,Bishop Auckland,Defender,,
Paul Collings,,,Goalkeeper,,
Ken McKenna,,,Winger,,
Steve Mungall,,Bellshill,Defender,,
Ged Brannan,,Liverpool,Midfielder,,
Ian Nolan,,Liverpool,Defender,,
Kenny Irons,,Liverpool,Midfielder,,
Shaun Garnett,,,Defender,,
Mark Proctor,,Middlesbrough,Midfielder,,
Neil McNab,,Greenock,Midfielder,,
Pat Nevin,,Glasgow,Winger,,
John Aldridge,,Liverpool,Striker,,
Tommy Coyne,,Glasgow,Striker,,
Steve Cooper,,Birmingham,Striker,,
Graham Branch,,Liverpool,Winger,,
John McGreal,,Liverpool,Defender,,
