Date,Season,Bucket,Path
1991-08-23,1991,trfc-programmes,1991-92/0.jpeg
1991-08-27,1991,trfc-programmes,1991-92/2.jpeg
1991-09-03,1991,trfc-programmes,1991-92/3.jpeg
1991-09-07,1991,trfc-programmes,1991-92/4.jpeg
1991-09-21,1991,trfc-programmes,1991-92/5.jpeg
1991-09-25,1991,trfc-programmes,1991-92/6.jpeg
1991-09-28,1991,trfc-programmes,1991-92/7.jpeg
1991-10-04,1991,trfc-programmes,1991-92/8.jpeg
1991-10-01,1991,trfc-programmes,1991-92/9.jpeg
1991-10-08,1991,trfc-programmes,1991-92/10.jpeg
1991-10-18,1991,trfc-programmes,1991-92/11.jpeg
1991-10-22,1991,trfc-programmes,1991-92/12.jpeg
1991-10-29,1991,trfc-programmes,1991-92/13.jpeg
1991-11-05,1991,trfc-programmes,1991-92/14.jpeg
1991-11-08,1991,trfc-programmes,1991-92/15.jpeg
1991-11-22,1991,trfc-programmes,1991-92/16.jpeg
1988-05-02,1987,trfc-programmes,1987-88/1.jpeg
1991-05-11,1990,trfc-programmes,1990-91/1.jpeg
1981-04-29,1980,trfc-programmes,1980-81/1.jpeg
1989-08-19,1989,trfc-programmes,1989-90/Scan 1.jpeg
1989-08-22,1989,trfc-programmes,1989-90/Scan 2.jpeg
1989-08-26,1989,trfc-programmes,1989-90/Scan 3.jpeg
1989-08-29,1989,trfc-programmes,1989-90/Scan 4.jpeg
1989-09-02,1989,trfc-programmes,1989-90/Scan 5.jpeg
1989-09-09,1989,trfc-programmes,1989-90/Scan 6.jpeg
1989-09-16,1989,trfc-programmes,1989-90/Scan 7.jpeg
1989-09-19,1989,trfc-programmes,1989-90/Scan 8.jpeg
1989-09-22,1989,trfc-programmes,1989-90/Scan 9.jpeg
1989-09-26,1989,trfc-programmes,1989-90/Scan 10.jpeg
1989-09-29,1989,trfc-programmes,1989-90/Scan 11.jpeg
1989-10-03,1989,trfc-programmes,1989-90/Scan 12.jpeg
1989-10-06,1989,trfc-programmes,1989-90/Scan 13.jpeg
1989-10-14,1989,trfc-programmes,1989-90/Scan 14.jpeg
1989-10-16,1989,trfc-programmes,1989-90/Scan 15.jpeg
1989-10-20,1989,trfc-programmes,1989-90/Scan 16.jpeg
1989-10-23,1989,trfc-programmes,1989-90/Scan 17.jpeg
1989-10-27,1989,trfc-programmes,1989-90/Scan 18.jpeg
1989-10-31,1989,trfc-programmes,1989-90/Scan 19.jpeg
1989-11-04,1989,trfc-programmes,1989-90/Scan 20.jpeg
1989-11-07,1989,trfc-programmes,1989-90/Scan 21.jpeg
1989-11-10,1989,trfc-programmes,1989-90/Scan 22.jpeg
1989-11-18,1989,trfc-programmes,1989-90/Scan 23.jpeg
1989-11-22,1989,trfc-programmes,1989-90/Scan 24.jpeg
1989-11-25,1989,trfc-programmes,1989-90/Scan 25.jpeg
1989-11-29,1989,trfc-programmes,1989-90/Scan 26.jpeg
1989-12-02,1989,trfc-programmes,1989-90/Scan 27.jpeg
1989-12-15,1989,trfc-programmes,1989-90/Scan 28.jpeg
1989-12-30,1989,trfc-programmes,1989-90/Scan 29.jpeg
1990-01-06,1989,trfc-programmes,1989-90/Scan 30.jpeg
1990-01-09,1989,trfc-programmes,1989-90/Scan 31.jpeg
1990-01-13,1989,trfc-programmes,1989-90/Scan 32.jpeg
1990-01-19,1989,trfc-programmes,1989-90/Scan 33.jpeg
1990-01-27,1989,trfc-programmes,1989-90/Scan 34.jpeg
1990-02-03,1989,trfc-programmes,1989-90/Scan 35.jpeg
